unix,date,open,high,low,close,Volume USD,symbol,macd,macd_signal,macd_hist,rsi,volume,taker_buy_base,volume_delta,cvd,cvd_rolling,ppo,ppo_signal,ppo_hist,delta,ma_7,ma_25,ma_99
1501545600,2017-08-01 00:00:00,4261.48,4745.42,3400.0,4724.89,42538297.66482722,BTCUSD,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,,,,
1504224000,2017-09-01 00:00:00,4689.89,4939.19,2817.0,4378.51,110493081.58501816,BTCUSD,-7.771346,-4.317415,-3.453932,0.0,,,,,,-0.170985,-0.094992,-0.075993,,,,
1506816000,2017-10-01 00:00:00,4378.49,6498.01,4110.0,6463.0,228736757.83148792,BTCUSD,54.737673,19.88549,34.852183,86.63,,,,,,1.045781,0.372538,0.673243,,,,
1509494400,2017-11-01 00:00:00,6463.0,11300.03,5325.01,9838.96,892748838.3973899,BTCUSD,203.714268,82.158111,121.556157,94.68,,,,,,3.123758,1.304523,1.819235,,,,
1512086400,2017-12-01 00:00:00,9837.0,19798.68,9380.0,13716.36,5975573892.335593,BTCUSD,434.667894,187.021802,247.646092,96.95,,,,,,5.307314,2.495263,2.812051,,,,
1514764800,2018-01-01 00:00:00,13715.65,17176.24,9035.0,10285.1,9979686765.57534,BTCUSD,418.609345,249.794902,168.814443,68.92,,,,,,4.862115,3.136811,1.725303,,,,
1517443200,2018-02-01 00:00:00,10285.1,11786.01,6000.01,10326.76,11576600898.49658,BTCUSD,402.98771,288.563915,114.423795,69.04,,,,,,4.520333,3.486944,1.033389,,8533.37,,
1519862400,2018-03-01 00:00:00,10325.64,11710.0,6600.1,6923.91,10789435243.860195,BTCUSD,224.194522,273.09474,-48.900217,51.86,,,,,,2.608677,3.27588,-0.667203,,8847.51,,
1522540800,2018-04-01 00:00:00,6922.0,9759.82,6430.0,9246.01,8963408127.53917,BTCUSD,212.18022,259.023183,-46.842963,59.3,,,,,,2.441435,3.083119,-0.641684,,9542.87,,
1525132800,2018-05-01 00:00:00,9246.01,10020.0,7032.95,7485.01,7717053810.960643,BTCUSD,109.86266,225.602567,-115.739907,52.65,,,,,,1.2888,2.681087,-1.392287,,9688.87,,
1527811200,2018-06-01 00:00:00,7485.01,7786.69,5750.0,6390.07,6334765066.668446,BTCUSD,-23.94792,171.002347,-194.950267,48.98,,,,,,-0.290363,2.030951,-2.321314,,9196.17,,
1530403200,2018-07-01 00:00:00,6391.08,8491.77,6070.0,7730.93,7956324970.008915,BTCUSD,-48.070598,123.954666,-172.025264,53.28,,,,,,-0.587365,1.468646,-2.056012,,8341.11,,
1533081600,2018-08-01 00:00:00,7735.67,7750.0,5880.0,7011.21,9361010282.352654,BTCUSD,-105.978619,75.292794,-181.271413,50.8,,,,,,-1.317044,0.879098,-2.196141,,7873.41,,
